Run,Image_File,Quality,Tigers_In_Frame,Tiger_ID,Color_Morph,Match_Score,Conf,Is_New,Is_Partial
Run_2,tiger_103.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_110.png,Clean,1,Tiger_001,Orange_Standard,1.0,0.7715,True,False
Run_2,TIger_1122.jpeg,Clean,1,Tiger_002,Orange_Standard,0.4916,0.9354,True,False
Run_2,TIger_1123.jpeg,Clean,1,Tiger_003,Orange_Standard,0.7363,0.8134,True,False
Run_2,TIger_1124.jpeg,Clean,3,Tiger_004,Golden,0.8114,0.6374,True,False
Run_2,TIger_1125.jpeg,Clean,2,Tiger_005,Orange_Standard,0.4992,0.5011,True,False
Run_2,TIger_1125.jpeg,Clean,2,Tiger_005,Orange_Standard,0.9052,0.4429,False,False
Run_2,TIger_1126.jpeg,Clean,1,Tiger_006,Orange_Standard,0.7722,0.742,True,False
Run_2,tiger_12.png,Clean,1,Tiger_001,Orange_Standard,0.867,0.4132,False,False
Run_2,tiger_126.png,Clean,1,Tiger_001,Orange_Standard,0.8765,0.6197,False,False
Run_2,tiger_127.png,Clean,1,Tiger_001,Orange_Standard,0.8515,0.7569,False,False
Run_2,tiger_13.png,Clean,1,Tiger_001,Orange_Standard,0.9475,0.7225,False,False
Run_2,tiger_15.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_156.png,Clean,1,Tiger_007,Golden,0.7513,0.7255,True,False
Run_2,tiger_173.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_175.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_181.png,Clean,1,Tiger_001,Orange_Standard,0.939,0.6675,False,False
Run_2,tiger_19.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_198.png,Clean,1,Tiger_001,Orange_Standard,0.9127,0.5746,False,False
Run_2,tiger_200.png,Clean,1,Tiger_001,Orange_Standard,0.8867,0.5379,False,False
Run_2,tiger_224.png,Clean,1,Tiger_001,Orange_Standard,0.8912,0.6333,False,False
Run_2,tiger_23.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_233.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_235.png,Clean,1,Tiger_001,Orange_Standard,0.9068,0.3849,False,False
Run_2,tiger_236.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_24.png,Clean,1,Tiger_001,Golden,0.9019,0.6183,False,False
Run_2,tiger_256.png,Clean,1,Tiger_001,Orange_Standard,0.861,0.5454,False,False
Run_2,tiger_284.png,Clean,1,Tiger_001,Orange_Standard,0.9182,0.4741,False,False
Run_2,tiger_286.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_32.png,Clean,1,Tiger_001,Orange_Standard,0.8744,0.5974,False,False
Run_2,tiger_326.png,Clean,1,Tiger_008,Orange_Standard,0.8219,0.4893,True,False
Run_2,tiger_327.png,Clean,1,Tiger_007,Orange_Standard,0.8639,0.8817,False,False
Run_2,tiger_340.png,Clean,1,Tiger_001,Golden,0.9087,0.3527,False,False
Run_2,tiger_347.png,Clean,1,Tiger_009,Orange_Standard,0.3744,0.404,True,False
Run_2,tiger_352.png,Clean,1,Tiger_001,Orange_Standard,0.9285,0.8597,False,False
Run_2,tiger_371.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_372.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_382.png,Clean,1,Tiger_001,Orange_Standard,0.9571,0.7397,False,False
Run_2,tiger_4.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_403.png,Clean,1,Tiger_010,Orange_Standard,0.5704,0.9071,True,False
Run_2,tiger_42.png,Clean,1,Tiger_001,Orange_Standard,0.8892,0.4848,False,False
Run_2,tiger_52.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_54.png,Unusable_Blurry,0,UNUSABLE,,,,,
Run_2,tiger_78.png,Clean,1,Tiger_011,Orange_Standard,0.5531,0.5828,True,False
Run_2,tiger_8.png,Clean,1,Tiger_001,Orange_Standard,0.898,0.5761,False,False
Run_2,tiger_84.png,Clean,1,Tiger_012,Orange_Standard,0.8201,0.4077,True,False
Run_2,tiger_86.png,Clean,1,Tiger_013,Orange_Standard,0.7862,0.5682,True,False
Run_2,tiger_9.png,Unusable_Blurry,0,UNUSABLE,,,,,
