Image_File,Image_Quality,Has_Tiger,Tiger_Count,Tiger_IDs,Color_Morphs
000900.jpg,Clean,Yes,1,Tiger_014,Black Tiger
000901.jpg,Clean,Yes,1,Tiger_001,Orange Tiger
000903.jpg,Clean,Yes,2,Tiger_001,Orange Tiger
000909.jpg,Clean,Yes,2,"Tiger_001, Tiger_015",Orange Tiger
000911.jpg,Clean,Yes,1,Tiger_001,Orange Tiger
000916.jpg,Clean,Yes,2,Tiger_001,"Golden Tiger, Orange Tiger"
000926.jpg,Clean,Yes,1,Tiger_001,Orange Tiger
000928.jpg,Clean,Yes,1,Tiger_005,Orange Tiger
000934.jpg,Clean,Yes,1,Tiger_005,Orange Tiger
000943.jpg,IR_Night,Yes,1,Tiger_017,Black Tiger
000944.jpg,Clean,Yes,1,Tiger_001,Golden Tiger
000945.jpg,Clean,Yes,1,Tiger_010,Black Tiger
000946.jpg,Clean,Yes,1,Tiger_001,Orange Tiger
000952.jpg,Clean,Yes,1,Tiger_005,Orange Tiger
000956.jpg,IR_Night,No,0,—,—
000958.jpg,Clean,Yes,1,Tiger_013,Orange Tiger
000962.jpg,Clean,Yes,1,Tiger_001,Golden Tiger
000964.jpg,Clean,Yes,1,Tiger_001,Orange Tiger
000967.jpg,Clean,Yes,1,Tiger_001,Orange Tiger
000972.jpg,Clean,Yes,1,Tiger_001,Orange Tiger
