Unique_Tiger_ID,Original_Filename,Status,Match_Confidence_Score,Top_ResNet_Label,Blur_Score,Std_Dev,Resolution_Width,Resolution_Height
TIG_2026_0001,tiger_10.png,Original,N/A (New Enrollment),tiger,170.8,0.249,512,512
TIG_2026_0002,tiger_103.png,Original,N/A (New Enrollment),tiger,53.9,0.234,512,512
TIG_2026_0003,tiger_104.png,Original,N/A (New Enrollment),tiger,552.7,0.204,512,512
TIG_2026_0004,tiger_107.png,Original,N/A (New Enrollment),tiger,146.4,0.199,512,512
TIG_2026_0005,tiger_109.png,Original,N/A (New Enrollment),tiger,364.0,0.176,512,512
TIG_2026_0006,tiger_110.png,Original,N/A (New Enrollment),tiger,307.5,0.325,512,512
TIG_2026_0007,TIger_1123.jpeg,Original,N/A (New Enrollment),tiger cat,2103.8,0.193,225,225
TIG_2026_0008,tiger_115.png,Original,N/A (New Enrollment),tiger,144.1,0.213,512,512
TIG_2026_0009,tiger_117.png,Original,N/A (New Enrollment),tiger,424.4,0.161,512,512
TIG_2026_0008,tiger_118.png,Duplicate,91.2%,tiger,414.2,0.195,512,512
TIG_2026_0010,tiger_119.png,Original,N/A (New Enrollment),tiger,284.4,0.131,512,512
TIG_2026_0008,tiger_12.png,Duplicate,91.0%,tiger,125.1,0.221,512,512
TIG_2026_0011,tiger_121.png,Original,N/A (New Enrollment),tiger,1094.3,0.227,512,512
TIG_2026_0012,tiger_125.png,Original,N/A (New Enrollment),tiger,440.4,0.201,512,512
TIG_2026_0013,tiger_126.png,Original,N/A (New Enrollment),tiger,192.1,0.195,512,512
TIG_2026_0008,tiger_127.png,Duplicate,90.5%,tiger,160.5,0.229,512,512
TIG_2026_0014,tiger_13.png,Original,N/A (New Enrollment),tiger,718.3,0.22,512,512
TIG_2026_0015,tiger_130.png,Original,N/A (New Enrollment),tiger,168.6,0.185,512,512
TIG_2026_0016,tiger_132.png,Original,N/A (New Enrollment),tiger,975.9,0.144,512,512
TIG_2026_0008,tiger_136.png,Duplicate,88.4%,tiger,159.8,0.206,512,512
TIG_2026_0017,tiger_139.png,Original,N/A (New Enrollment),tiger,178.9,0.158,512,512
TIG_2026_0018,tiger_14.png,Original,N/A (New Enrollment),tiger,116.8,0.162,512,512
TIG_2026_0019,tiger_142.png,Original,N/A (New Enrollment),tiger,227.6,0.241,512,512
TIG_2026_0008,tiger_143.png,Duplicate,90.1%,tiger,356.5,0.198,512,512
TIG_2026_0005,tiger_149.png,Duplicate,91.3%,tiger,472.7,0.174,512,512
TIG_2026_0020,tiger_15.png,Original,N/A (New Enrollment),tiger,68.2,0.181,512,512
TIG_2026_0002,tiger_150.png,Duplicate,90.6%,tiger,80.3,0.205,512,512
TIG_2026_0021,tiger_153.png,Original,N/A (New Enrollment),tiger,111.8,0.164,512,512
TIG_2026_0008,tiger_154.png,Duplicate,92.5%,tiger,155.1,0.136,512,512
TIG_2026_0022,tiger_155.png,Original,N/A (New Enrollment),tiger,939.3,0.127,512,512
TIG_2026_0023,tiger_156.png,Original,N/A (New Enrollment),tiger,2413.7,0.228,512,512
TIG_2026_0008,tiger_159.png,Duplicate,89.6%,tiger,627.5,0.261,512,512
TIG_2026_0024,tiger_162.png,Original,N/A (New Enrollment),tiger,273.0,0.171,512,512
TIG_2026_0008,tiger_163.png,Duplicate,88.7%,tiger,147.0,0.169,512,512
TIG_2026_0017,tiger_167.png,Duplicate,88.7%,tiger,672.5,0.157,512,512
TIG_2026_0008,tiger_170.png,Duplicate,88.4%,tiger,145.0,0.232,512,512
TIG_2026_0025,tiger_172.png,Original,N/A (New Enrollment),tiger,548.7,0.227,512,512
TIG_2026_0026,tiger_173.png,Original,N/A (New Enrollment),tiger,44.5,0.18,512,512
TIG_2026_0027,tiger_178.png,Original,N/A (New Enrollment),tiger,80.3,0.175,512,512
TIG_2026_0028,tiger_179.png,Original,N/A (New Enrollment),tiger,411.8,0.227,512,512
TIG_2026_0008,tiger_181.png,Duplicate,91.2%,tiger,654.9,0.168,512,512
TIG_2026_0008,tiger_185.png,Duplicate,91.4%,tiger,161.1,0.209,512,512
TIG_2026_0029,tiger_188.png,Original,N/A (New Enrollment),tiger,96.2,0.11,512,512
TIG_2026_0008,tiger_189.png,Duplicate,89.3%,tiger,211.2,0.189,512,512
TIG_2026_0030,tiger_19.png,Original,N/A (New Enrollment),tiger,50.9,0.229,512,512
TIG_2026_0008,tiger_190.png,Duplicate,88.1%,tiger,131.2,0.194,512,512
TIG_2026_0008,tiger_192.png,Duplicate,88.5%,tiger,497.8,0.137,512,512
TIG_2026_0004,tiger_193.png,Duplicate,90.9%,tiger,284.5,0.163,512,512
TIG_2026_0031,tiger_194.png,Original,N/A (New Enrollment),tiger,239.6,0.158,512,512
TIG_2026_0032,tiger_195.png,Original,N/A (New Enrollment),tiger,87.7,0.203,512,512
TIG_2026_0008,tiger_198.png,Duplicate,89.4%,tiger,159.9,0.223,512,512
TIG_2026_0008,tiger_200.png,Duplicate,89.5%,tiger,262.0,0.202,512,512
TIG_2026_0008,tiger_201.png,Duplicate,90.4%,tiger,1594.8,0.221,512,512
TIG_2026_0033,tiger_205.png,Original,N/A (New Enrollment),tiger,406.6,0.21,512,512
TIG_2026_0034,tiger_206.png,Original,N/A (New Enrollment),tiger,103.4,0.123,512,512
TIG_2026_0008,tiger_208.png,Duplicate,92.6%,tiger,179.8,0.195,512,512
TIG_2026_0003,tiger_21.png,Duplicate,88.4%,tiger,7525.1,0.217,512,512
TIG_2026_0035,tiger_210.png,Original,N/A (New Enrollment),tiger,490.3,0.165,512,512
TIG_2026_0036,tiger_219.png,Original,N/A (New Enrollment),tiger,164.2,0.195,512,512
TIG_2026_0037,tiger_223.png,Original,N/A (New Enrollment),tiger,120.1,0.141,512,512
TIG_2026_0008,tiger_224.png,Duplicate,90.6%,tiger,114.4,0.211,512,512
